Date,Time,Keyword,UID
2018-11-18,21:27:28,prueba1,123
2018-11-19,18:32:44,prueba2,456
2018-11-19,18:37:00,prueba3,789
2018-11-19,19:34:22,undefined,68176ad0-ec64-11e8-be26-473d191ae7f8
2018-11-19,19:35:22,undefined,8c171d90-ec64-11e8-80d1-798cbc15faf7
2018-11-19,19:37:02,undefined,c783aba0-ec64-11e8-96c6-97b738bc01ad
2018-11-19,20:26:13,buenas,a6b49b30-ec6b-11e8-93c4-cd6896d0f5a3
2018-11-19,20:34:31,pruebass,cfad8a00-ec6c-11e8-99ec-eb130720f68f
2018-11-19,20:35:17,pruebass2,ead634d0-ec6c-11e8-ade9-b9944ecab025
2018-11-19,20:36:07,prueba5,088c8f60-ec6d-11e8-800f-0fe3fd8246e7
2018-11-20,10:48:50,guatemala,284c2e60-ece4-11e8-97df-93677bbbd68d
